year,category,item_name,size,price_min,price_max
2019,ART SUPPLIES,Adult Coloring Book (50 pg),,4.5,4.5
2019,ART SUPPLIES,Colored Pencils,12 pk,1.6,1.6
2019,ART SUPPLIES,Drawing Pad,9x12,1.25,1.25
2019,ART SUPPLIES,Illustration Boards,2 pk,4.3,4.3
2019,ART SUPPLIES,Mini Colored Pencils,24 pk,2.5,2.5
2019,ART SUPPLIES,Protractor Ruler,,0.45,0.45
2019,ART SUPPLIES,Watercolor Pad,9x12,5.25,5.25
2019,ART SUPPLIES,Watercolor Paints,16 colors,1.35,1.35
2019,CANDY,Cinnamon Jawbreaker,10 oz,1.5,1.5
2019,CANDY,EK Peppermint Stick,1 oz,0.1,0.1
2019,CANDY,Fruit Filled Hard Candy,22 oz,2.4,2.4
2019,CANDY,Rainbow Fruit Stick,1 oz,0.1,0.1
2019,CANDY,Sugar Free Jolly Rancher Candy,,2.4,2.4
2019,CANDY,Tootsie Pops,8 pk,0.9,0.9
2019,CANDY,Twix Candy Bar,1.79 oz,0.85,0.85
2019,CLOTHING,Boxer Shorts,,3.3,3.3
2019,CLOTHING,Gym Shorts,,4.5,6.5
2019,CLOTHING,Socks,,1.5,1.5
2019,CLOTHING,T-Shirts,,6.5,7.5
2019,CONDIMENTS,BBQ Sauce,18 oz,1.1,1.1
2019,CONDIMENTS,EG Mustard,14 oz,0.9,0.9
2019,CONDIMENTS,EKH Sweetener,100 pks,0.85,0.85
2019,CONDIMENTS,Non-Dairy Creamer,12 oz,1.45,1.45
2019,CONDIMENTS,Ranch Dressing Pack,1.5 oz,0.2,0.2
2019,CONDIMENTS,Salsa-Medium,15 oz,3.0,3.0
2019,CONDIMENTS,Salt/Pepper Shaker,4.5 oz,1.35,1.35
2019,CONDIMENTS,Sandwich Spread,15 oz,1.4,1.4
2019,CONDIMENTS,Stevia Sweetener,,1.35,1.35
2019,CONDIMENTS,Strawberry Preserves,12 oz,1.3,1.3
2019,CORRESPONDENCE,Carbon Paper,10 sheets,2.0,2.0
2019,CORRESPONDENCE,Dictionary (English),,7.0,7.0
2019,CORRESPONDENCE,Envelope-#10 Business,,0.03,0.03
2019,CORRESPONDENCE,Eraser-Pencil/Ink,,0.35,0.35
2019,CORRESPONDENCE,Folder Storage,10x15,1.25,1.25
2019,CORRESPONDENCE,Greeting Cards-Assorted,,0.4,0.4
2019,CORRESPONDENCE,Jumbo Envelope,18x23,0.95,0.95
2019,CORRESPONDENCE,Manilla Envelope-Writ,2 pk,0.52,0.52
2019,CORRESPONDENCE,"Pen-Black ""Property""",,0.3,0.3
2019,CORRESPONDENCE,Pencil Sharpener,,0.45,0.45
2019,CORRESPONDENCE,Pencil-Lead,,0.15,0.15
2019,CORRESPONDENCE,Stamps-Assorted,,0.01,6.7
2019,CORRESPONDENCE,Typing Paper,50 sheets,0.95,0.95
2019,CORRESPONDENCE,Writing Tablet 8x11,50 sht,2.0,2.0
2019,ELECTRICAL,"Adaptor-1/8""-1/4"" headphone",,1.5,1.5
